PolicyID,Region,Type,Coverage,Premium,Claimed
P0110,East,Auto,903692,28508,1
P0111,West,Auto,1261157,24541,1
P0112,East,Auto,1414532,21774,1
P0113,West,Property,521240,17045,1
P0114,South,Property,1002580,9430,1
P0115,East,Auto,1044789,13820,1
P0116,West,Health,1109940,29070,1
P0117,North,Auto,216421,9232,1
P0118,South,Property,625893,16122,1
P0119,West,Property,172303,20023,1
P0120,North,Health,258211,13007,1
P0121,West,Property,1094653,22905,1
P0122,North,Auto,287210,14018,1
P0123,South,Health,962557,6500,1
P0124,East,Auto,244990,11737,1
P0125,North,Auto,1307094,8294,1
P0126,West,Health,224040,26469,1
P0127,South,Auto,768406,23803,1
P0128,North,Property,518034,24426,1
P0129,West,Auto,856254,9497,1
P0130,West,Health,1133255,22850,1
P0131,West,Health,890756,24945,1
P0132,North,Health,895543,5614,1
P0133,North,Auto,1055614,26776,1
P0134,North,Health,640677,29077,1
P0135,East,Health,1452147,14374,1
P0136,North,Auto,1097083,24607,1
P0137,North,Property,1271459,28522,1
P0138,North,Auto,862501,7667,1
P0139,East,Health,487952,29364,1
P0140,North,Health,212221,18409,1
P0141,West,Auto,1130117,21514,1
P0142,North,Property,899666,7983,1
P0143,West,Health,360669,25662,1
P0144,West,Health,859224,28510,1
P0145,West,Health,939873,17651,1
P0146,East,Auto,625134,13230,1
P0147,East,Health,1489959,29078,1
P0148,East,Property,344761,11640,1
P0149,North,Health,932946,16779,1
P0150,West,Health,974668,26852,1
P0151,East,Property,237541,20317,1
P0152,East,Health,1047609,22304,1
P0153,North,Auto,164323,12564,1
P0154,East,Auto,716210,20520,1
P0155,North,Auto,1337715,18737,1
P0156,South,Property,1329024,14323,1
P0157,East,Health,1054480,20229,1
P0158,South,Auto,335659,16713,1
P0159,North,Property,489678,13502,1
P0160,West,Health,954016,24625,1
P0161,East,Property,1253113,5545,1
P0162,North,Auto,964909,9346,1
P0163,West,Auto,341983,14996,1
P0164,West,Auto,888260,20775,1
P0165,South,Property,1150493,18919,1
P0166,North,Property,382762,8810,1
P0167,West,Auto,886275,12206,1
P0168,East,Property,671650,14005,1
P0169,East,Auto,382272,21371,1
P0170,South,Auto,485925,17316,1
P0171,West,Health,866641,23416,1
P0172,North,Property,814743,13436,1
P0173,East,Auto,689833,17984,1
P0174,West,Auto,1230756,5271,1
P0175,West,Property,503081,24895,1
P0176,South,Health,1019723,23155,1
P0177,East,Health,401953,15616,1
P0178,East,Auto,478892,9361,1
P0179,North,Property,105287,12069,1
P0180,East,Health,1406241,22304,1
P0181,North,Property,1157088,29574,1
P0182,East,Property,756702,8430,1
P0183,South,Auto,1257448,25819,1
P0184,East,Health,193070,17676,1
P0185,North,Auto,722117,15816,1
P0186,North,Health,1044118,25144,1
P0187,South,Health,1111293,7050,1
P0188,East,Health,1190654,16692,1
P0189,East,Health,707812,6165,1
P0190,South,Health,327645,29951,1
P0191,East,Property,886667,7033,1
P0192,East,Auto,1453649,27851,1
P0193,North,Property,1275885,5145,1
P0194,East,Health,1478164,19269,1
P0195,East,Auto,988266,25772,1
P0196,South,Health,446699,12832,1
P0197,South,Auto,1484418,29557,1
P0198,West,Property,486594,19286,1
P0199,North,Auto,872608,7632,1
P0200,East,Auto,1192501,9494,1
P0201,East,Auto,1144027,20152,1
P0202,West,Auto,237023,29440,1
P0203,East,Auto,1235964,28895,1
P0204,North,Health,632295,14155,1
P0205,West,Auto,1406378,15426,1
P0206,North,Auto,158596,15233,1
P0207,West,Property,1048027,6828,1
P0208,West,Auto,451005,17260,1
P0209,South,Property,973172,14130,1
P0210,North,Health,622244,9805,1
P0211,East,Auto,779290,5806,1
P0212,East,Property,599097,28870,1
P0213,North,Property,749789,13202,1
P0214,East,Health,1296632,6868,1
P0215,East,Auto,1162636,19561,1
P0216,North,Auto,929735,20512,1
P0217,West,Property,1338855,29262,1
P0218,North,Auto,830406,19899,1
P0219,West,Property,1188287,27074,1
P0220,East,Auto,1291602,29211,1
P0221,East,Property,435484,21220,1
P0222,East,Auto,565317,20934,1
P0223,South,Health,1089024,10429,1
P0224,West,Auto,318134,14076,1
P0225,South,Auto,1251550,8564,1
P0226,South,Health,1298222,6389,1
P0227,North,Auto,1298744,16593,1
P0228,South,Health,789376,12274,1
P0229,North,Auto,538774,22208,1
P0230,North,Property,611937,23649,1
P0231,South,Property,511597,22320,1
P0232,West,Auto,1014228,15745,1
P0233,West,Auto,1053959,27786,1
P0234,West,Auto,192263,19199,1
P0235,West,Property,1021522,25229,1
P0236,West,Auto,953938,20876,1
P0237,South,Property,1372386,23180,1
P0238,South,Health,1245222,13245,1
P0239,East,Property,445266,12214,1
P0240,West,Property,580703,5726,1
P0241,South,Health,1074323,24120,1
P0242,East,Property,443054,18832,1
P0243,West,Auto,1006862,16362,1
P0244,North,Auto,1416128,23297,1
P0245,East,Property,1207955,15106,1
P0246,South,Auto,1173629,12657,1
P0247,North,Property,198723,23850,1
P0248,North,Auto,675644,28696,1
P0249,North,Auto,1421509,19551,1
P0250,East,Property,953088,29578,1
P0251,South,Auto,1180730,12906,1
P0252,North,Property,1362518,26260,1
P0253,West,Auto,364480,12287,1
P0254,North,Auto,381173,5892,1
P0255,North,Health,945633,15222,1
P0256,East,Health,1180841,9675,1
P0257,East,Property,1391898,6933,1
P0258,South,Health,1134057,22764,1
P0259,West,Property,1323520,16873,1
P0260,East,Health,1303358,22674,1
P0261,North,Auto,1220483,23024,1
P0262,South,Property,302967,18239,1
P0263,North,Property,1451351,28874,1
P0264,North,Auto,1430823,15874,1
P0265,East,Property,164772,22602,1
P0266,South,Property,226108,10016,1
P0267,West,Health,1162958,28265,1
P0268,West,Property,1232867,18774,1
P0269,East,Auto,463339,14752,1
P0270,East,Health,1431329,22338,1
P0271,South,Health,247550,20585,1
P0272,West,Auto,1380626,12291,1
P0273,West,Auto,532882,5974,1
P0274,West,Health,437827,9133,1
P0275,North,Property,1147843,19663,1
P0276,West,Health,695603,26754,1
P0277,North,Auto,488349,8972,1
P0278,South,Health,1162729,10295,1
P0279,North,Auto,1126919,18913,1
P0280,South,Health,1389349,14105,1
P0281,West,Property,1203894,13228,1
P0282,West,Health,494030,14903,1
P0283,South,Health,176077,8020,0
P0284,East,Auto,976906,13987,1
P0285,South,Auto,233515,25420,1
P0286,East,Auto,1093497,26452,1
P0287,North,Health,1355564,17880,1
P0288,North,Property,225885,10233,1
P0289,North,Auto,996209,14516,1
P0290,West,Auto,641656,19559,1
P0291,North,Health,770688,21701,1
P0292,East,Auto,288014,7396,0
P0293,North,Property,191751,23546,1
P0294,South,Property,330203,24129,1
P0295,South,Auto,913738,6591,1
P0296,West,Auto,795275,16303,1
P0297,South,Health,923651,11183,1
P0298,East,Property,1360527,25314,1
P0299,North,Property,295716,6312,1
P0300,West,Auto,684567,25695,1
P0301,North,Health,415172,12314,1
P0302,North,Property,990695,23767,1
P0303,East,Property,100126,24623,1
P0304,South,Health,938761,7139,1
P0305,South,Health,1176208,19688,1
P0306,North,Property,600315,23088,1
P0307,West,Property,1258521,11924,1
P0308,South,Health,417320,5362,1
P0309,West,Property,1399445,23988,1
P0310,South,Auto,841426,18481,1
P0311,West,Auto,598716,25670,1
P0312,East,Health,1143917,8738,1
P0313,West,Health,1323975,7469,1
P0314,East,Health,562120,26179,1
P0315,East,Auto,1283445,27534,1
P0316,West,Property,278954,21106,1
P0317,East,Auto,769078,21940,1
P0318,North,Property,1183136,14017,1
P0319,East,Auto,384260,7808,1
P0320,South,Property,232717,21370,1
P0321,West,Auto,1327171,26534,1
P0322,North,Health,748373,19870,1
P0323,West,Auto,479862,17713,1
P0324,South,Property,594592,12561,1
P0325,South,Auto,1248734,7719,1
P0326,South,Auto,1317078,27890,1
P0327,East,Auto,430388,16700,1
P0328,East,Health,418408,8741,1
P0329,West,Auto,568276,14766,1
P0330,West,Health,1114920,8998,1
P0331,North,Health,157545,23787,1
P0332,North,Auto,611411,21077,1
P0333,West,Auto,925656,5294,1
P0334,East,Auto,1120020,15177,1
P0335,South,Property,984377,26727,1
P0336,West,Auto,113224,14882,1
P0337,North,Health,140738,6136,0
P0338,East,Auto,1042654,7064,1
P0339,West,Property,1329336,12009,1
P0340,West,Auto,1117433,17987,1
P0341,East,Property,566725,9543,1
P0342,West,Property,763937,6007,1
P0343,East,Auto,1274737,10445,1
P0344,South,Health,944193,15706,1
P0345,East,Property,398512,19749,1
P0346,East,Auto,762143,16718,1
P0347,East,Auto,666202,26736,1
P0348,West,Health,1350155,14439,1
P0349,West,Property,752026,18281,1
P0350,East,Property,1096530,6435,1
P0351,West,Auto,871253,5571,1
P0352,North,Auto,604471,7382,1
P0353,North,Health,1478246,10084,1
P0354,West,Health,906388,21661,1
P0355,West,Property,1367543,18507,1
P0356,East,Property,483152,12059,1
P0357,South,Auto,1054652,23271,1
P0358,West,Property,194270,17771,1
P0359,North,Health,1145482,22649,1
P0360,East,Health,1295889,12491,1
P0361,West,Auto,258768,19527,1
P0362,North,Health,1395302,22424,1
P0363,North,Health,670451,19859,1
P0364,South,Health,119816,13073,1
P0365,East,Health,1067344,14077,1
P0366,East,Auto,857907,24136,1
P0367,South,Auto,414997,29597,1
P0368,South,Property,1304565,25953,1
P0369,East,Health,1355100,16383,1
P0370,East,Property,1138896,21378,1
P0371,West,Auto,1300454,27737,1
P0372,West,Auto,830880,7353,1
P0373,South,Auto,881452,28821,1
P0374,West,Auto,233554,9799,0
P0375,North,Auto,551282,22070,1
P0376,West,Auto,1242077,29860,1
P0377,West,Auto,364223,26195,1
P0378,North,Health,1208252,16939,1
P0379,South,Property,1322108,26730,1
P0380,North,Auto,697135,26427,1
P0381,West,Health,320178,7428,0
P0382,South,Health,1298097,26510,1
P0383,West,Property,526752,29604,1
P0384,North,Auto,688365,16296,1
P0385,North,Property,924690,12813,1
P0386,West,Auto,803662,19414,1
P0387,East,Health,1405585,16801,1
P0388,East,Health,1286293,16745,1
P0389,North,Health,662288,18025,1
P0390,North,Health,400709,8356,1
P0391,East,Property,1043026,19288,1
P0392,East,Auto,1334816,28650,1
P0393,West,Auto,1423062,11540,1
P0394,West,Property,1451526,21422,1
P0395,East,Auto,1459490,8342,1
P0396,West,Health,1227199,14078,1
P0397,West,Auto,1117289,7844,1
P0398,South,Health,1007425,15396,1
P0399,West,Property,283675,22482,1
P0400,North,Auto,752465,28411,1
P0401,West,Property,1365030,23207,1
P0402,West,Auto,1098748,18998,1
P0403,East,Health,1258151,18261,1
P0404,North,Property,1133024,24539,1
P0405,West,Auto,1356182,8093,1
P0406,West,Health,605815,16722,1
P0407,South,Property,1441398,27042,1
P0408,West,Property,176218,25162,1
P0409,West,Auto,687518,24280,1
P0410,South,Auto,870044,16645,1
P0411,East,Auto,1484775,20083,1
P0412,West,Health,549589,5988,1
P0413,South,Auto,578446,25500,1
P0414,North,Property,562052,11446,1
P0415,East,Property,1482978,21335,1
P0416,North,Auto,1188562,25563,1
P0417,North,Auto,447739,21133,1
P0418,South,Property,572327,6682,1
P0419,West,Health,1475649,10626,1
P0420,South,Auto,697794,12424,1
P0421,South,Auto,134911,17857,1
P0422,South,Property,525037,17155,1
P0423,South,Auto,830399,22317,1
P0424,East,Health,1078039,24982,1
P0425,West,Property,999885,16425,1
P0426,North,Auto,708746,6980,1
P0427,North,Property,1160751,20522,1
P0428,West,Auto,1005667,24440,1
P0429,North,Auto,416915,13984,1
P0430,West,Auto,599876,22175,1
P0431,North,Health,711213,20883,1
P0432,South,Health,868734,10390,1
P0433,North,Property,1214934,28019,1
P0434,West,Auto,147057,23639,1
P0435,West,Auto,1416870,24994,1
P0436,West,Health,354726,6607,1
P0437,West,Auto,378176,26563,1
P0438,West,Health,808754,11573,1
P0439,East,Auto,1037583,22368,1
P0440,East,Property,1315868,10776,1
P0441,North,Auto,244931,8676,1
P0442,West,Auto,262491,8380,1
P0443,North,Health,501921,13711,1
P0444,West,Auto,360910,13782,1
P0445,West,Auto,1171812,22434,1
P0446,East,Health,187955,18997,1
P0447,East,Property,727433,25017,1
P0448,South,Property,1379361,11342,1
P0449,East,Health,1243490,22343,1
P0450,South,Health,307990,11059,1
P0451,South,Health,478387,13884,1
P0452,South,Health,638884,10655,1
P0453,South,Health,1096261,17091,1
P0454,South,Property,1342845,25857,1
P0455,North,Property,492417,24330,1
P0456,East,Health,1080020,20251,1
P0457,South,Auto,238155,29109,1
P0458,West,Health,1269250,5526,1
P0459,East,Auto,1006739,8224,1
P0460,East,Health,1405289,20069,1
P0461,South,Health,643351,16536,1
P0462,North,Property,167642,18547,1
P0463,South,Auto,190093,23259,1
P0464,North,Auto,317215,6763,1
P0465,West,Property,135954,13712,1
P0466,East,Property,1176432,10797,1
P0467,West,Property,626861,14208,1
P0468,North,Property,659655,28483,1
P0469,North,Auto,595553,10109,1
P0470,West,Auto,862092,28028,1
P0471,North,Health,986040,21500,1
P0472,West,Health,422918,7433,1
P0473,East,Property,1172328,26847,1
P0474,West,Property,941461,21967,1
P0475,East,Property,248757,29970,1
P0476,West,Health,1462413,25172,1
P0477,North,Health,216739,9167,1
P0478,West,Health,1386585,29849,1
P0479,North,Health,880316,22773,1
P0480,West,Health,1356556,13357,1
P0481,West,Health,1405185,11154,1
P0482,South,Health,436676,26804,1
P0483,North,Property,1492714,13920,1
P0484,South,Property,1466853,23427,1
P0485,North,Property,1114929,25581,1
P0486,South,Property,423412,24880,1
P0487,East,Health,585417,22162,1
P0488,West,Auto,288456,5213,1
P0489,North,Health,655941,8762,1
P0490,North,Auto,1306305,18399,1
P0491,West,Property,328504,14768,1
P0492,North,Health,752665,15640,1
P0493,North,Property,673044,11731,1
P0494,South,Health,1189385,24501,1
P0495,North,Property,816756,10791,1
P0496,East,Auto,151226,20822,1
P0497,East,Auto,599512,13783,1
P0498,West,Auto,1177978,18621,1
P0499,North,Health,1152839,21019,1
P0500,West,Auto,1140993,7720,1
